,Bal,Brick,Dist,District,Floor,Kitsp,Lat,Link,Livesp,Lon,Metrdist,New,Nfloors,Price,Price_duplicate,Rem,Rooms,Small_district,Stname,Tel,Totsp,Walk
12030,1,0,1017.74670296,6,8,46.0,55.621882,http://www.cian.ru/rent/flat/151591209/,,37.495797,14,,12,60000.0,60000.0,евроремонт,3,Тёплый Стан,Теплый Стан,0,70.0,0
12031,0,0,491.178346812,2,2,44.0,55.818301,http://www.cian.ru/rent/flat/151220856/,,37.62678,13,,9,60000.0,60000.0,евроремонт,3,Останкинский,ВДНХ,0,60.0,1
12032,0,1,627.258713767,7,4,54.0,55.835397,http://www.cian.ru/rent/flat/148589554/,16.0,37.358929,15,,12,65000.0,65000.0,косметический,3,Митино,Митино,0,110.0,1
12033,1,1,171.288872278,8,6,55.0,55.777758,http://www.cian.ru/rent/flat/151468939/,25.0,37.457987,,1,12,85000.0,85000.0,евроремонт,3,Хорошёво-Мнёвники,,0,90.0,
12034,1,1,617.660610724,8,13,34.0,55.834194,http://www.cian.ru/rent/flat/147850592/,,37.457699,15,1,14,32000.0,32000.0,косметический,2,Покровское-Стрешнево,Тушинская,0,54.0,1
12035,1,0,457.095661396,4,5,32.0,55.696499,http://www.cian.ru/rent/flat/151567902/,,37.825514,5,,12,30000.0,30000.0,косметический,2,Выхино-Жулебино,Выхино,0,45.0,0
12036,1,1,62.277248853,0,4,66.0,55.747819,http://www.cian.ru/rent/flat/150596390/,15.0,37.59392,5,1,7,150000.0,150000.0,евроремонт,3,Арбат,Кропоткинская,0,120.0,1
12037,1,,448.038694009,3,5,35.0,55.812863,http://www.cian.ru/rent/flat/150979844/,10.0,37.787677,11,1,17,35000.0,35000.0,косметический,2,,Щелковская,0,62.0,1
12038,0,1,35.8307615236,0,6,43.0,55.751224,http://www.cian.ru/rent/flat/151148316/,17.0,37.586302,6,1,8,155000.0,155000.0,дизайнерский,2,Арбат,Смоленская,0,73.0,1
12039,1,0,717.718880672,6,20,20.0,55.662085,http://www.cian.ru/rent/flat/151591750/,10.0,37.566386,18,1,22,30000.0,30000.0,косметический,1,Черёмушки,Калужская,0,42.0,1
12040,1,0,827.363116247,7,8,36.0,55.860383,http://www.cian.ru/rent/flat/151591656/,14.0,37.417895,15,1,15,45000.0,45000.0,евроремонт,2,Северное Тушино,Планерная,0,65.0,1
12041,1,0,838.232327008,4,2,44.0,55.646015,http://www.cian.ru/rent/flat/151558647/,,37.722999,14,1,9,63000.0,63000.0,дизайнерский,3,Марьино,Марьино,0,62.0,1
12042,1,0,1014.17143327,5,6,21.0,55.622365,http://www.cian.ru/rent/flat/151213830/,,37.696498,13,,12,26000.0,26000.0,косметический,1,Орехово-Борисово Северное,Орехово,0,38.0,1
12043,1,0,395.949523843,4,8,30.0,55.704509,http://www.cian.ru/rent/flat/151380032/,,37.792915,10,1,9,30000.0,30000.0,косметический,2,Кузьминки,Кузьминки,0,45.0,0
12044,0,1,342.310021626,1,2,40.0,55.799497,http://www.cian.ru/rent/flat/151569299/,,37.528576,2,1,8,60000.0,60000.0,евроремонт,2,Хорошёвский,Аэропорт,0,65.0,1
12045,1,1,563.463661276,6,3,29.0,55.682508,http://www.cian.ru/rent/flat/151001207/,,37.545653,15,,5,35000.0,35000.0,косметический,2,Гагаринский,Профсоюзная,0,39.0,1
12046,1,1,728.966264529,1,5,18.0,55.848119,http://www.cian.ru/rent/flat/151059104/,,37.491745,12,1,5,38000.0,38000.0,евроремонт,1,Головинский,Водный стадион,0,33.0,1
12047,1,0,680.360308278,4,6,32.0,55.667046,http://www.cian.ru/rent/flat/148213891/,12.0,37.784596,27,1,12,68000.0,68000.0,косметический,2,Люблино,Люблино,0,64.0,1
12048,1,,417.943453211,8,23,75.0,55.809064,http://www.cian.ru/rent/flat/151228440/,15.0,37.451519,11,1,30,200000.0,200000.0,евроремонт,3,,Щукинская,0,126.0,1
12049,1,,180.972948882,0,8,60.0,55.778993,http://www.cian.ru/rent/flat/151219219/,12.0,37.641557,9,1,12,120000.0,120000.0,дизайнерский,2,,Проспект Мира,0,95.0,1
12050,1,0,547.768064301,3,7,29.0,55.825421,http://www.cian.ru/rent/flat/149223328/,,37.815489,10,,9,30000.0,30000.0,,2,Гольяново,Щелковская,0,52.0,0
12051,1,0,405.916160448,4,11,40.0,55.703205,http://www.cian.ru/rent/flat/151248188/,10.0,37.935468,15,,25,30000.0,30000.0,,2,Некрасовка,Лермонтовский проспект,0,60.0,0
12052,1,0,366.56396128,3,1,20.0,55.802568,http://www.cian.ru/rent/flat/150696689/,,37.813504,19,,5,24000.0,24000.0,косметический,1,Восточное Измайлово,Щелковская,0,28.0,1
12053,0,0,334.283123709,1,6,95.0,55.79848,http://www.cian.ru/rent/flat/150499388/,25.0,37.520671,5,,22,350000.0,350000.0,дизайнерский,3,Хорошёвский,Сокол,0,196.0,1
12054,1,0,423.470313813,7,2,32.0,55.809762,http://www.cian.ru/rent/flat/151422958/,,37.392302,12,,12,40000.0,40000.0,косметический,2,Строгино,Строгино,0,43.0,1
12055,1,1,546.479151318,2,5,34.0,55.825259,http://www.cian.ru/rent/flat/151556911/,,37.579996,10,,12,33000.0,33000.0,косметический,2,Бутырский,Тимирязевская,0,48.0,1
12056,0,0,430.514268344,4,4,,55.699984,http://www.cian.ru/rent/flat/151590190/,,37.824562,7,1,5,25000.0,25000.0,,1,Выхино-Жулебино,Выхино,0,31.0,0
12057,1,0,1628.31082954,6,8,20.0,55.537857,http://www.cian.ru/rent/flat/151581419/,10.0,37.579987,10,,16,17000.0,17000.0,косметический,1,Южное Бутово,Бульвар Дмитрия Донского,0,38.0,0
12058,0,1,19.6449634283,0,2,28.0,55.753306,http://www.cian.ru/rent/flat/151381458/,,37.536185,9,1,9,37000.0,37000.0,косметический,1,Пресненский,Международная,0,38.0,1
12059,0,,930.410076365,5,1,34.0,55.633653,http://www.cian.ru/rent/flat/151322646/,,37.609182,10,,9,38000.0,38000.0,косметический,2,,Чертановская,0,44.0,1
12060,1,,231.447106974,7,13,21.0,55.785422,http://www.cian.ru/rent/flat/151249605/,10.0,37.479888,12,1,25,44000.0,44000.0,евроремонт,1,,Октябрьское поле,0,42.0,1
12061,1,1,702.583866905,6,4,98.0,55.664096,http://www.cian.ru/rent/flat/151435897/,20.0,37.536517,11,,23,165000.0,165000.0,дизайнерский,4,Обручевский,Калужская,0,172.0,1
12062,1,1,504.186475546,3,4,42.0,55.819939,http://www.cian.ru/rent/flat/150655017/,,37.832144,5,,9,40000.0,40000.0,,3,Гольяново,Щелковская,0,65.0,0
12063,1,0,933.308635702,2,14,30.0,55.873541,http://www.cian.ru/rent/flat/151141658/,10.0,37.705095,10,,14,38000.0,38000.0,евроремонт,2,Ярославский,ВДНХ,0,52.0,0
12064,0,1,228.743730692,7,13,39.0,55.785078,http://www.cian.ru/rent/flat/150877125/,,37.464886,,,18,43000.0,43000.0,косметический,2,Хорошёво-Мнёвники,,0,60.0,
12065,1,0,587.039265659,4,4,32.0,55.679397,http://www.cian.ru/rent/flat/151608652/,,37.739087,10,1,12,35000.0,35000.0,косметический,2,Люблино,Люблино,0,45.0,0
12066,1,1,197.974476078,7,9,,55.78116,http://www.cian.ru/rent/flat/150938745/,,37.451411,5,,18,220000.0,220000.0,евроремонт,4,Хорошёво-Мнёвники,Октябрьское поле,0,183.0,0
12067,0,0,264.965206226,2,5,25.0,55.789684,http://www.cian.ru/rent/flat/151467416/,,37.612641,5,1,9,60000.0,60000.0,дизайнерский,1,Марьина Роща,Достоевская,0,35.0,1
12068,0,1,60.860396885,0,3,84.0,55.76364,http://www.cian.ru/rent/flat/149411519/,,37.647693,9,,4,170000.0,170000.0,,4,Басманный,Чистые пруды,0,103.0,1
12069,1,0,250.495862277,3,7,35.0,55.72347,http://www.cian.ru/rent/flat/151345688/,12.0,37.903192,5,,17,39000.0,39000.0,евроремонт,2,Косино-Ухтомский,Выхино,0,54.0,0
12070,1,1,142.565208026,0,11,93.0,55.774092,http://www.cian.ru/rent/flat/150680900/,32.0,37.594683,5,,13,250000.0,250000.0,,3,Тверской,Маяковская,0,130.0,1
12071,1,0,483.589263337,8,8,32.0,55.817345,http://www.cian.ru/rent/flat/150232396/,,37.401177,15,1,17,45000.0,45000.0,косметический,2,Строгино,Строгино,0,54.0,1
12072,1,1,844.543522769,2,1,31.0,55.86252,http://www.cian.ru/rent/flat/151283799/,,37.661922,14,1,14,50000.0,50000.0,косметический,2,Бабушкинский,Бабушкинская,0,54.0,1
12073,1,0,132.888655526,8,3,30.0,55.772856,http://www.cian.ru/rent/flat/151460090/,,37.480813,20,,5,44000.0,44000.0,евроремонт,2,Хорошёво-Мнёвники,Полежаевская,0,44.0,1
12074,1,0,871.609119514,2,7,30.0,55.865884,http://www.cian.ru/rent/flat/151093189/,,37.589033,10,,14,32000.0,32000.0,,2,Отрадное,Отрадное,0,46.0,1
12075,1,1,194.474347904,8,6,64.0,55.780714,http://www.cian.ru/rent/flat/150825494/,12.0,37.472054,3,,25,150000.0,150000.0,евроремонт,3,Хорошёво-Мнёвники,Октябрьское поле,0,108.0,0
12076,1,0,831.301563975,8,9,44.0,55.860873,http://www.cian.ru/rent/flat/149464883/,10.0,37.418452,17,1,17,55000.0,55000.0,евроремонт,3,Северное Тушино,Планерная,0,78.0,1
12077,1,1,426.445867027,4,3,18.0,55.700517,http://www.cian.ru/rent/flat/151600168/,,37.738818,15,,5,30000.0,30000.0,косметический,1,Текстильщики,Текстильщики,0,34.0,1
12078,0,0,1059.68515227,5,9,20.0,55.616209,http://www.cian.ru/rent/flat/151617746/,,37.706452,10,1,9,27000.0,27000.0,косметический,1,Орехово-Борисово Северное,Орехово,0,35.0,1
12079,1,1,599.297239295,5,12,29.0,55.677778,http://www.cian.ru/rent/flat/151241357/,,37.684739,12,,12,43000.0,43000.0,,2,Нагатинский Затон,Коломенская,0,45.0,1
12080,1,,145.180736249,7,4,94.0,55.774426,http://www.cian.ru/rent/flat/150780402/,,37.461831,,1,9,150000.0,150000.0,евроремонт,4,,,0,110.0,
12081,0,1,642.592355389,8,2,67.0,55.837318,http://www.cian.ru/rent/flat/151237292/,30.0,37.357007,15,1,3,100000.0,100000.0,дизайнерский,3,Митино,Митино,0,110.0,1
12082,1,0,774.78455947,7,7,20.0,55.853835,http://www.cian.ru/rent/flat/151612777/,10.0,37.412936,13,1,12,28000.0,28000.0,косметический,1,Северное Тушино,Сходненская,0,40.0,1
12083,1,1,402.612202313,1,11,100.0,55.807127,http://www.cian.ru/rent/flat/149936180/,20.0,37.515901,1,1,19,100000.0,100000.0,косметический,2,Аэропорт,Сокол,0,100.0,1
12084,1,1,205.722055655,3,5,40.0,55.782147,http://www.cian.ru/rent/flat/151216758/,10.0,37.729727,10,1,9,55000.0,55000.0,евроремонт,2,Соколиная Гора,Семеновская,0,60.0,1
12085,1,1,118.428060467,3,4,26.0,55.771008,http://www.cian.ru/rent/flat/151248076/,,37.729538,15,,9,35000.0,35000.0,,2,Соколиная Гора,Семеновская,0,40.0,1
12086,1,0,915.662486646,9,16,30.0,55.635635,http://www.cian.ru/rent/flat/151602258/,10.0,37.322413,10,,17,35000.0,35000.0,евроремонт,2,поселение Внуковское,Румянцево,0,54.0,0
12087,1,1,551.030405393,7,3,33.0,55.825831,http://www.cian.ru/rent/flat/151577949/,,37.431522,5,1,5,33000.0,33000.0,косметический,2,Покровское-Стрешнево,Тушинская,0,50.0,1
12088,1,,573.814194897,7,4,68.0,55.828693,http://www.cian.ru/rent/flat/150355978/,,37.470294,2,,6,350000.0,350000.0,евроремонт,3,,Водный стадион,0,115.0,0
12089,1,0,1025.11702219,5,6,27.0,55.620886,http://www.cian.ru/rent/flat/151587789/,,37.601627,5,1,9,40000.0,40000.0,отсутствует,2,Чертаново Центральное,Южная,0,45.0,1
12090,1,1,635.974128606,7,21,91.0,55.836489,http://www.cian.ru/rent/flat/151607785/,10.0,37.459756,10,1,25,100000.0,100000.0,евроремонт,3,Южное Тушино,Спартак,0,146.0,0
12091,1,1,477.163428122,5,4,20.0,55.693865,http://www.cian.ru/rent/flat/151410067/,,37.602912,,,12,35000.0,35000.0,евроремонт,1,Донской,,0,35.0,
12092,1,1,569.346667799,2,9,58.0,55.828132,http://www.cian.ru/rent/flat/151582328/,12.0,37.650226,13,1,10,70000.0,70000.0,евроремонт,3,Алексеевский,ВДНХ,0,78.0,1
12093,1,0,1176.77043624,5,11,20.0,55.600298,http://www.cian.ru/rent/flat/151452211/,10.0,37.742878,15,,17,33000.0,33000.0,евроремонт,1,Орехово-Борисово Южное,Красногвардейская,0,39.0,1
12094,1,0,855.619072142,5,17,35.0,55.643688,http://www.cian.ru/rent/flat/149878643/,10.0,37.650729,16,1,17,40000.0,40000.0,косметический,2,Москворечье-Сабурово,Кантемировская,0,50.0,1
12095,1,0,43.2383595183,0,8,130.0,55.761381,http://www.cian.ru/rent/flat/150896589/,30.0,37.570186,7,1,12,240000.0,240000.0,дизайнерский,3,Пресненский,Краснопресненская,0,170.0,1
12096,0,1,974.921930358,6,3,18.0,55.627661,http://www.cian.ru/rent/flat/151391358/,,37.508068,10,,9,30000.0,30000.0,косметический,1,Тёплый Стан,Коньково,0,35.0,1
12097,0,0,720.126137372,6,14,20.0,55.661765,http://www.cian.ru/rent/flat/151425642/,11.0,37.523725,17,1,22,50000.0,50000.0,евроремонт,1,Обручевский,Калужская,0,45.0,1
12098,1,0,843.401596258,8,6,40.0,55.862378,http://www.cian.ru/rent/flat/151593330/,15.0,37.424408,12,,14,55000.0,55000.0,дизайнерский,2,Северное Тушино,Планерная,0,55.0,1
12099,1,0,717.906958482,6,16,20.0,55.66206,http://www.cian.ru/rent/flat/151601014/,,37.556774,10,,17,37000.0,37000.0,,1,Черёмушки,Новые Черемушки,0,38.0,1
12100,1,0,816.683800421,2,11,21.0,55.859054,http://www.cian.ru/rent/flat/151529758/,,37.594953,7,,17,35000.0,35000.0,евроремонт,1,Отрадное,Отрадное,0,40.0,1
12101,1,1,897.535279485,9,18,18.0,55.638069,http://www.cian.ru/rent/flat/151592469/,14.0,37.332735,15,,25,28000.0,28000.0,евроремонт,1,поселение Внуковское,Саларьево,0,43.0,0
12102,1,1,917.627540256,5,8,17.0,55.635371,http://www.cian.ru/rent/flat/150953655/,,37.671849,10,,9,26000.0,26000.0,,1,Царицыно,Кантемировская,0,32.0,1
12103,0,0,895.082630746,2,3,17.0,55.868799,http://www.cian.ru/rent/flat/148693332/,,37.637192,26,,9,35000.0,35000.0,косметический,1,Южное Медведково,Бабушкинская,0,38.0,1
12104,0,1,200.752961279,7,15,55.0,55.781514,http://www.cian.ru/rent/flat/151594529/,18.0,37.472216,5,1,22,100000.0,100000.0,дизайнерский,3,Хорошёво-Мнёвники,Октябрьское поле,0,100.0,0
12105,0,1,72.4049327275,0,3,126.0,55.765119,http://www.cian.ru/rent/flat/142352205/,25.0,37.611518,3,,5,345000.0,345000.0,евроремонт,4,Тверской,Чеховская,0,185.0,1
12106,1,1,1014.47864216,8,6,63.0,55.88359,http://www.cian.ru/rent/flat/150708544/,17.0,37.386328,10,1,7,85000.0,85000.0,евроремонт,3,Куркино,Планерная,0,120.0,0
12107,1,0,417.626763405,8,13,32.0,55.809024,http://www.cian.ru/rent/flat/151072967/,,37.475441,10,,22,50000.0,50000.0,,2,Щукино,Щукинская,0,57.0,1
12108,1,0,1037.97808853,6,4,33.0,55.619147,http://www.cian.ru/rent/flat/150614562/,10.5,37.497872,5,,12,50000.0,50000.0,косметический,2,Тёплый Стан,Теплый Стан,0,65.0,1
12109,0,,668.567700982,4,6,30.0,55.66861,http://www.cian.ru/rent/flat/151459041/,,37.747909,10,,9,35000.0,35000.0,косметический,2,,Братиславская,0,45.0,1
12110,0,1,195.510208077,7,33,70.0,55.780846,http://www.cian.ru/rent/flat/151296796/,20.0,37.449147,,,48,130000.0,130000.0,евроремонт,3,Хорошёво-Мнёвники,,0,120.0,
12111,1,1,482.501885503,1,4,32.0,55.817208,http://www.cian.ru/rent/flat/150758919/,,37.530157,10,1,9,33000.0,33000.0,косметический,2,Коптево,Сокол,0,43.0,0
12112,1,0,1014.39775837,1,10,34.0,55.88358,http://www.cian.ru/rent/flat/151614084/,11.0,37.487496,14,,16,35000.0,35000.0,евроремонт,2,Западное Дегунино,Речной вокзал,0,60.0,0
12113,1,0,812.544590944,5,5,30.0,55.649449,http://www.cian.ru/rent/flat/151422817/,,37.614464,7,,5,35000.0,35000.0,,2,Нагорный,Варшавская,0,45.0,1
12114,1,0,188.44055076,8,4,21.0,55.779945,http://www.cian.ru/rent/flat/35702321/,,37.485951,15,1,12,41000.0,41000.0,косметический,1,Хорошёво-Мнёвники,Полежаевская,0,39.0,1
12115,1,0,1769.75857375,9,12,21.0,55.517913,http://www.cian.ru/rent/flat/151566415/,10.0,37.352075,15,,17,24000.0,24000.0,евроремонт,1,поселение Десёновское,Теплый Стан,0,40.0,0
12116,0,0,839.421290454,1,4,20.0,55.861883,http://www.cian.ru/rent/flat/151498365/,,37.493398,20,,9,23000.0,23000.0,косметический,1,Ховрино,Речной вокзал,0,37.0,1
12117,1,0,890.442798637,2,7,28.0,55.868223,http://www.cian.ru/rent/flat/150518117/,,37.701762,10,,9,30000.0,30000.0,косметический,2,Ярославский,ВДНХ,0,44.0,0
12118,1,0,816.765974129,4,19,20.0,55.648885,http://www.cian.ru/rent/flat/151611484/,,37.746535,1,1,24,35000.0,35000.0,косметический,1,Марьино,Марьино,0,39.0,1
12119,1,0,711.112418854,6,4,20.0,55.662963,http://www.cian.ru/rent/flat/151592800/,10.0,37.528217,10,,12,33000.0,33000.0,евроремонт,1,Обручевский,Калужская,0,40.0,1
12120,1,1,1219.66289397,7,3,40.0,55.908873,http://www.cian.ru/rent/flat/150956929/,10.0,37.388762,10,1,17,42000.0,42000.0,косметический,2,Куркино,Планерная,0,64.0,0
12121,1,0,604.677041005,2,2,20.0,55.832566,http://www.cian.ru/rent/flat/151598915/,,37.589311,15,,5,35000.0,35000.0,евроремонт,1,Марфино,Петровско-Разумовская,0,37.0,1
12122,1,1,25.5157653342,3,6,25.0,55.752551,http://www.cian.ru/rent/flat/151195425/,,37.835126,10,1,9,30000.0,30000.0,косметический,2,Ивановское,Новогиреево,0,40.0,1
12123,1,1,157.075973306,4,4,47.0,55.735581,http://www.cian.ru/rent/flat/151299780/,10.0,37.748196,7,,7,48000.0,48000.0,косметический,3,Нижегородский,Авиамоторная,0,70.0,0
12124,1,0,110.270436686,7,10,30.0,55.769965,http://www.cian.ru/rent/flat/151575994/,10.0,37.484244,20,1,17,40000.0,40000.0,косметический,2,Хорошёво-Мнёвники,Полежаевская,0,57.0,1
12125,1,0,696.075529863,7,13,44.0,55.84401,http://www.cian.ru/rent/flat/151055953/,,37.402731,3,1,22,45000.0,45000.0,косметический,3,Южное Тушино,Сходненская,0,76.0,0
12126,1,1,917.627540256,5,9,26.0,55.635371,http://www.cian.ru/rent/flat/151493336/,,37.671849,13,,9,42000.0,42000.0,евроремонт,2,Царицыно,Кантемировская,0,41.0,1
12127,0,1,460.597238558,8,1,30.0,55.814447,http://www.cian.ru/rent/flat/151498493/,,37.460816,9,1,9,35000.0,35000.0,косметический,2,Покровское-Стрешнево,Щукинская,0,50.0,1
12128,1,0,482.645506289,4,14,18.0,55.693145,http://www.cian.ru/rent/flat/151249737/,14.0,37.718795,5,,16,40000.0,40000.0,,1,Печатники,Печатники,0,46.0,1
12129,1,0,702.140067857,7,5,70.0,55.844768,http://www.cian.ru/rent/flat/151591790/,12.0,37.403324,5,1,22,50000.0,50000.0,евроремонт,3,Южное Тушино,Сходненская,0,100.0,0
12130,1,1,893.786940125,9,5,10.0,55.638572,http://www.cian.ru/rent/flat/151551667/,10.0,37.325593,15,1,17,29000.0,29000.0,евроремонт,1,поселение Внуковское,Саларьево,0,39.0,0
12131,1,0,651.632128833,7,16,46.0,55.83845,http://www.cian.ru/rent/flat/151412659/,,37.388511,5,,17,50000.0,50000.0,евроремонт,2,Митино,Волоколамская,0,65.0,1
12132,1,1,1377.52152109,9,16,30.0,55.572757,http://www.cian.ru/rent/flat/151058486/,10.0,37.483104,10,,22,30000.0,30000.0,евроремонт,1,поселение Сосенское,Теплый Стан,0,40.0,0
12133,1,,1718.81162008,9,2,16.0,55.525119,http://www.cian.ru/rent/flat/151346148/,,37.513089,10,1,12,30000.0,30000.0,косметический,1,,Бунинская аллея,0,43.0,0
12134,0,0,1127.09940944,2,7,18.0,55.897488,http://www.cian.ru/rent/flat/151482146/,,37.614581,15,,9,27000.0,27000.0,,1,Бибирево,Алтуфьево,0,36.0,1
12135,0,1,155.097257508,0,3,16.0,55.775692,http://www.cian.ru/rent/flat/151601806/,,37.590731,5,,5,40000.0,40000.0,дизайнерский,1,Тверской,Белорусская,0,20.0,1
12136,0,0,308.8775728,3,1,29.0,55.715875,http://www.cian.ru/rent/flat/151248470/,,37.862148,7,1,2,24000.0,24000.0,косметический,2,Косино-Ухтомский,Выхино,0,39.0,0
12137,1,1,158.387997318,0,9,61.0,55.776112,http://www.cian.ru/rent/flat/150830643/,16.0,37.588485,6,,9,150000.0,150000.0,евроремонт,3,Тверской,Белорусская,0,120.0,1
12138,1,0,122.573784808,3,2,45.0,55.740041,http://www.cian.ru/rent/flat/151019769/,10.5,37.761734,18,,10,45000.0,45000.0,косметический,3,Перово,Шоссе Энтузиастов,0,75.0,1
12139,0,1,288.279452456,5,3,32.0,55.718557,http://www.cian.ru/rent/flat/151460790/,,37.647908,24,,9,45000.0,45000.0,косметический,2,Даниловский,Павелецкая,0,44.0,1
12140,1,0,879.12900044,6,7,20.0,55.640538,http://www.cian.ru/rent/flat/151170400/,,37.545527,15,,17,33000.0,33000.0,евроремонт,1,Коньково,Беляево,0,40.0,1
